"Survival","white/white","white/LDS","LDS/white","LDS/LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS"
"","103","95","95","96","","96.588982","96.217033","96.122063","96.117889","","4.807323","3.156405","4.588113","1.346654"
"","104","96","96","97","","97.801941","97.435051","97.359978","97.375992","","4.826886","3.166598","4.596513","1.350275"
"","105","97","97","98","","99.095009","98.677078","98.627960","98.641983","","4.866379","3.198968","4.645541","1.349551"
"","106","98","98","99","","100.341103","99.924973","99.866997","99.877998","","4.887404","3.229805","4.661071","1.341204"
"","107","100","100","100","","101.586121","101.163956","101.136101","101.128944","","4.916391","3.244737","4.682185","1.383497"
"","108","101","101","101","","102.819084","102.439980","102.384056","102.384041","","4.962358","3.259152","4.706109","1.383849"
"","109","103","102","102","","104.053970","103.680984","103.643005","103.651993","","5.018229","3.295357","4.728880","1.397193"
"","110","104","103","104","","105.300995","104.917007","104.923973","104.864021","","5.035034","3.307041","4.768877","1.414559"
"","111","105","105","105","","106.559052","106.165047","106.174171","106.110031","","5.066549","3.322802","4.776754","1.436141"
"","113","106","106","106","","107.797066","107.432083","107.422089","107.360016","","5.095859","3.338928","4.781965","1.433418"
"","114","108","107","107","","109.021004","108.706139","108.665054","108.614021","","5.090490","3.357303","4.823243","1.420415"
"","115","109","108","109","","110.285103","109.953972","109.938133","109.858986","","5.112599","3.372105","4.865074","1.440554"
"","117","110","109","110","","111.537971","111.205048","111.179916","111.091034","","5.120043","3.396201","4.896986","1.425904"
"","118","111","110","111","","112.735916","112.454971","112.437996","112.351112","","5.136896","3.418699","4.919667","1.415939"
"","119","113","111","112","","113.959930","113.712067","113.665024","113.594040","","5.144020","3.433378","4.949649","1.424877"
"","120","114","112","114","","115.205940","114.969864","114.897888","114.833031","","5.153598","3.458318","4.990029","1.414559"
"","121","115","113","115","","116.437943","116.219009","116.140015","116.051010","","5.177230","3.456482","5.009561","1.405903"
"","122","116","114","117","","117.683006","117.467995","117.402061","117.322998","","5.209948","3.487842","5.017061","1.392642"
"","123","117","115","118","","118.945007","118.694038","118.671959","118.592026","","5.229218","3.506551","5.091928","1.403469"
"","125","118","118","119","","120.170982","119.945953","119.934990","119.827034","","5.250651","3.512533","5.151418","1.363589"
"","126","119","120","120","","121.435051","121.206970","121.206032","121.069916","","5.290764","3.557562","5.201318","1.349551"
"","127","121","123","122","","122.663979","122.449966","122.458977","122.321999","","5.298880","3.562226","5.200567","1.340476"
"","128","122","124","123","","123.915947","123.700027","123.673958","123.600029","","5.343750","3.566746","5.236497","1.346654"
"","129","123","125","124","","125.189011","124.955948","124.914993","124.859055","","5.364270","3.586950","5.284300","1.323245"
