"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","89","87","80","80","86","83","","84.281036","84.208076","83.871994","83.829063","83.785950","83.810020","","6.273705","4.400595","6.102037","2.827650","2.873726","3.864464"
"","92","88","81","81","88","84","","85.771973","85.685966","85.348969","85.273003","85.298943","85.303871","","6.297903","4.450301","6.126993","2.846668","2.893706","3.897114"
"","93","90","82","83","89","86","","87.249001","87.167969","86.802986","86.738060","86.783936","86.757996","","6.373123","4.505260","6.204758","2.867603","2.916146","3.934336"
"","94","92","84","84","90","87","","88.670052","88.633041","88.305008","88.193977","88.247856","88.283020","","6.401256","4.559663","6.254569","2.879667","2.921750","3.954329"
"","96","93","85","85","91","88","","90.190010","90.079071","89.785027","89.688934","89.725975","89.754929","","6.443868","4.592953","6.301778","2.912124","2.919827","3.984834"
"","98","94","86","86","93","91","","91.691971","91.580040","91.230026","91.149971","91.206924","91.233109","","6.495416","4.651739","6.323629","2.904401","2.942151","4.048654"
"","102","95","87","88","95","92","","93.201920","93.062988","92.721031","92.626999","92.718033","92.702950","","6.561831","4.710568","6.373315","2.902888","2.975650","4.047328"
"","103","97","89","89","96","93","","94.697990","94.550949","94.209015","94.089935","94.196991","94.148849","","6.683044","4.737648","6.420792","2.939826","3.023993","4.139888"
"","104","98","91","90","97","94","","96.174103","95.998955","95.723907","95.600098","95.672058","95.631004","","6.738416","4.774710","6.468372","2.969901","3.039133","4.183767"
"","105","101","93","91","98","97","","97.650940","97.495956","97.210960","97.082947","97.148964","97.135010","","6.813933","4.809252","6.482172","2.996906","3.053558","4.216434"
"","106","102","94","92","100","98","","99.130981","98.955009","98.676041","98.571930","98.651009","98.573967","","6.846175","4.819090","6.558034","3.022377","3.077927","4.223377"
"","107","103","96","93","102","100","","100.586075","100.428024","100.190979","100.061081","100.104004","100.078026","","6.894858","4.845262","6.607214","3.025123","3.124531","4.227999"
"","108","104","97","94","103","101","","102.045013","101.900024","101.663094","101.549957","101.581955","101.535011","","6.964405","4.883006","6.680779","3.070462","3.142296","4.257461"
"","109","105","100","97","104","103","","103.504967","103.396027","103.134857","103.033073","103.075005","103.013062","","6.983099","4.922445","6.742618","3.086798","3.196678","4.268114"
"","112","106","101","99","105","104","","104.984985","104.843063","104.637085","104.498909","104.525070","104.462036","","7.046858","4.938786","6.752965","3.090750","3.217840","4.312613"
"","113","108","102","102","107","106","","106.468903","106.271004","106.136871","105.965973","105.977020","105.911079","","7.120681","4.962752","6.797935","3.091382","3.254954","4.318045"
"","114","109","103","104","109","107","","107.934959","107.757011","107.607994","107.407104","107.478065","107.407982","","7.162661","4.987092","6.823958","3.096747","3.286900","4.352060"
"","115","110","111","105","110","109","","109.395058","109.250076","109.096092","108.893051","108.961945","108.882980","","7.234763","5.019299","6.828107","3.153464","3.345648","4.382917"
"","117","111","112","106","111","110","","110.852028","110.753036","110.598152","110.392029","110.458115","110.355049","","7.284334","5.034355","6.872656","3.181827","3.331315","4.391042"
"","118","113","114","107","112","111","","112.305031","112.223038","112.059059","111.850014","111.936867","111.823906","","7.287216","5.077139","6.953107","3.195150","3.367903","4.442449"
"","122","114","117","110","114","112","","113.773964","113.676933","113.590080","113.306046","113.397049","113.313896","","7.319574","5.132902","7.018182","3.229503","3.383525","4.471918"
"","124","115","118","112","117","116","","115.249008","115.162987","115.028053","114.766945","114.865974","114.804016","","7.367316","5.172890","7.086588","3.245339","3.437926","4.491420"
"","126","116","119","113","118","117","","116.742050","116.640991","116.503036","116.256966","116.312897","116.296989","","7.375000","5.215755","7.127056","3.216777","3.468187","4.513759"
"","127","119","120","114","119","118","","118.204987","118.120018","117.970963","117.728004","117.774956","117.752007","","7.379170","5.225949","7.172130","3.199731","3.488682","4.555217"
"","128","120","121","115","121","121","","119.677925","119.588020","119.477081","119.197990","119.266045","119.184959","","7.409348","5.304130","7.222875","3.227688","3.497348","4.562714"
"","129","121","123","117","122","122","","121.139992","121.084023","120.930000","120.692871","120.721039","120.667030","","7.445702","5.332682","7.260365","3.271115","3.523360","4.595769"
"","130","122","126","118","125","123","","122.609962","122.571022","122.391037","122.167046","122.202995","122.104958","","7.491076","5.367637","7.306688","3.276037","3.565240","4.592900"
"","132","124","127","120","126","124","","124.092964","124.044998","123.884018","123.685921","123.659950","123.565941","","7.536305","5.438218","7.344282","3.272309","3.591711","4.613902"
"","133","126","128","122","127","127","","125.551941","125.473907","125.349167","125.204926","125.143951","125.065033","","7.585451","5.460619","7.360950","3.294023","3.613533","4.677698"
"","134","127","129","123","128","128","","127.011078","126.974983","126.820808","126.693985","126.626991","126.561012","","7.667020","5.469911","7.424293","3.326327","3.628904","4.704864"
"","135","128","130","125","130","131","","128.452942","128.474854","128.315948","128.143005","128.105164","128.004822","","7.756802","5.509934","7.495050","3.311026","3.644881","4.764985"
"","137","129","131","126","132","132","","129.924042","129.961075","129.822006","129.657135","129.576035","129.454956","","7.818123","5.527453","7.547118","3.318685","3.700454","4.749383"
"","138","131","132","127","133","133","","131.444138","131.479141","131.312180","131.125015","131.040115","130.924805","","7.864080","5.558461","7.594843","3.330142","3.694908","4.791757"
"","139","132","134","128","135","134","","132.906265","132.927002","132.806152","132.626129","132.519821","132.389908","","7.944633","5.576177","7.631529","3.344772","3.728847","4.823243"
"","140","134","135","130","136","136","","134.380920","134.398132","134.284836","134.115097","133.986877","133.851028","","7.975916","5.594535","7.677585","3.381360","3.751562","4.852512"
"","141","135","138","131","137","137","","135.849930","135.889053","135.741943","135.586853","135.438782","135.344009","","8.009394","5.631073","7.701588","3.395769","3.764814","4.868987"
"","142","137","139","133","139","138","","137.331818","137.370132","137.197922","137.063873","136.881012","136.818192","","8.061168","5.677016","7.756802","3.402090","3.768185","4.896587"
"","144","140","140","135","140","140","","138.835007","138.851089","138.718796","138.551956","138.380951","138.306824","","8.113453","5.691963","7.798738","3.419555","3.793498","4.927997"
"","146","142","141","136","142","141","","140.306992","140.333847","140.185013","140.014053","139.829041","139.806122","","8.147205","5.707383","7.837584","3.422125","3.791438","4.981999"
"","147","143","143","139","144","144","","141.775009","141.761017","141.668060","141.480103","141.267029","141.254074","","8.175086","5.739460","7.784700","3.447145","3.817875","5.059606"
"","148","144","145","141","146","145","","143.286972","143.233887","143.144089","142.956833","142.755051","142.702011","","8.212509","5.794495","7.861969","3.482938","3.801470","5.086172"
"","149","145","148","143","147","146","","144.760071","144.742096","144.625824","144.450012","144.225723","144.188034","","8.224511","5.821062","7.916804","3.518645","3.816084","5.125191"
"","151","147","150","144","149","147","","146.237076","146.203171","146.078751","145.917892","145.692047","145.664902","","8.250592","5.854519","7.973467","3.549868","3.822988","5.175438"
"","152","148","152","146","150","148","","147.702927","147.675125","147.547958","147.379944","147.140976","147.100067","","8.321658","5.878988","8.012685","3.558935","3.824775","5.216411"
