"Survival","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Avg","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS","Survival Std Dev","white/white","white/LDS","LDS/white","LDS/LDS","R2 LDS","Sobol LDS"
"","81","86","84","85","82","83","","82.965988","82.954025","83.090034","82.929115","82.851036","82.846954","","3.635827","2.581674","3.269921","1.577738","1.290175","1.762095"
"","82","87","85","86","83","84","","84.099968","84.095993","84.230980","84.071037","83.993103","83.991058","","3.653712","2.580822","3.288162","1.561875","1.262438","1.744411"
"","83","88","86","87","84","85","","85.261009","85.262054","85.386017","85.216064","85.148170","85.162018","","3.688493","2.609609","3.318612","1.549477","1.243342","1.730076"
"","84","89","88","88","85","86","","86.441963","86.404999","86.542976","86.344978","86.317047","86.333000","","3.708560","2.615216","3.343531","1.520370","1.234078","1.721589"
"","85","90","89","89","87","87","","87.586029","87.545967","87.686043","87.511971","87.483963","87.490059","","3.737871","2.638266","3.368991","1.471905","1.221551","1.698316"
"","86","91","90","90","88","89","","88.728035","88.662041","88.841972","88.652954","88.633957","88.661995","","3.746483","2.633450","3.388572","1.450855","1.217347","1.678797"
"","87","92","91","91","89","90","","89.859024","89.820023","90.002007","89.802986","89.780014","89.811882","","3.776792","2.628067","3.413410","1.434440","1.221351","1.711776"
"","88","94","92","92","90","91","","91.014030","90.963058","91.143105","90.955040","90.915062","90.961082","","3.789248","2.634284","3.437074","1.406944","1.243342","1.742450"
"","89","96","93","93","91","93","","92.161987","92.104004","92.296951","92.113953","92.062912","92.135956","","3.806989","2.657353","3.469032","1.378192","1.258952","1.780427"
"","90","97","95","94","92","94","","93.311981","93.250984","93.424026","93.281013","93.221085","93.313942","","3.843496","2.684046","3.495533","1.345928","1.246479","1.783442"
"","91","98","96","95","94","95","","94.442223","94.418037","94.567139","94.441978","94.398933","94.451042","","3.859976","2.705066","3.514757","1.321768","1.276286","1.779330"
"","92","99","97","96","95","96","","95.565910","95.565056","95.714951","95.601013","95.567886","95.591942","","3.859470","2.715336","3.551243","1.348828","1.297534","1.830194"
"","94","100","98","98","96","97","","96.723991","96.726074","96.846977","96.759979","96.718987","96.742935","","3.894357","2.740930","3.573038","1.378901","1.286195","1.860097"
"","96","101","99","99","97","98","","97.901039","97.892990","98.004982","97.928047","97.861000","97.884895","","3.905125","2.760456","3.590216","1.407638","1.306160","1.822976"
"","97","102","100","100","98","99","","99.072021","99.038002","99.161041","99.084946","99.013092","99.006111","","3.933281","2.774571","3.614748","1.446980","1.309147","1.780976"
"","98","103","101","101","99","100","","100.225037","100.174957","100.312065","100.245941","100.167946","100.159073","","3.972070","2.775450","3.631460","1.493148","1.352443","1.777683"
"","99","104","102","102","100","101","","101.356918","101.331009","101.469948","101.393112","101.319016","101.295013","","3.997802","2.793687","3.645550","1.521654","1.375000","1.744970"
"","100","106","103","103","101","102","","102.526047","102.481094","102.591995","102.532043","102.477058","102.425964","","4.008171","2.816837","3.661855","1.561249","1.395095","1.724139"
"","101","107","104","105","102","103","","103.674026","103.645073","103.747948","103.700058","103.635017","103.590004","","4.014257","2.844265","3.677556","1.602915","1.426247","1.686342"
"","102","108","105","107","103","105","","104.815941","104.796051","104.902046","104.865028","104.778023","104.794075","","4.029917","2.851637","3.710074","1.628902","1.449677","1.663604"
"","103","109","106","108","104","106","","105.974930","105.931114","106.043007","105.998039","105.914909","105.930946","","4.061658","2.883310","3.719538","1.647086","1.476046","1.677051"
"","104","110","107","110","106","107","","107.119049","107.079903","107.197990","107.144981","107.074028","107.083008","","4.071025","2.922669","3.725834","1.656839","1.504226","1.678797"
"","105","111","108","111","107","108","","108.258087","108.237007","108.331955","108.299004","108.232079","108.226028","","4.105303","2.925007","3.734865","1.652709","1.510057","1.699322"
"","106","112","109","112","108","109","","109.409981","109.400909","109.478996","109.458046","109.367096","109.402016","","4.149077","2.958865","3.782283","1.662429","1.511027","1.714198"
"","107","113","111","113","109","110","","110.574913","110.556023","110.626945","110.597115","110.500977","110.559013","","4.174654","2.969901","3.804551","1.657723","1.541103","1.720454"
"","108","114","112","114","110","111","","111.729034","111.727036","111.791039","111.741974","111.654083","111.707977","","4.213886","2.988095","3.797100","1.681413","1.563750","1.743011"
"","109","115","113","115","111","113","","112.873093","112.898018","112.961952","112.877983","112.811874","112.841133","","4.218981","2.992667","3.830516","1.669756","1.603828","1.711918"
"","110","116","114","116","112","114","","114.033981","114.057953","114.119987","114.031044","113.965050","113.983025","","4.233078","3.022862","3.860355","1.650935","1.613541","1.714483"
"","111","117","115","117","113","115","","115.180016","115.223885","115.267029","115.176971","115.125992","115.126007","","4.265940","3.039294","3.869073","1.629801","1.658607","1.748325"
